,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_z,fare_z
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,-1.1296995365411229,-0.48455206966533587
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,-0.12669441430094538,0.06851923277692655
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,-1.6697792177473723,-0.22190017756895475
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,0.644847987422268,-0.014277982131041355
26,0,3,male,29.64209269662921,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,-5.482138488753303e-16,-0.5007430776237524
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,-0.8210825758518374,4.648790695770894
28,1,3,female,29.64209269662921,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,-5.482138488753303e-16,-0.4875720288717055
29,0,3,male,29.64209269662921,0,0,7.8958,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.48723782005286725
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,0.7991564677669107,-0.08809987827767862
31,1,1,female,29.64209269662921,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,-5.482138488753303e-16,2.3037078131670836
32,1,3,female,29.64209269662921,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,-5.482138488753303e-16,-0.49017322040145855
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,2.8051667122472654,-0.434807301618015
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,-0.12669441430094538,1.008145313634504
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,0.9534649481115534,0.40071474547758795
36,1,3,male,29.64209269662921,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,-5.482138488753303e-16,-0.500658518765974
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,-0.6667740955071948,-0.4841333019887193
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,-0.8982368160241588,-0.28380934129953256
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,-1.2068537767134442,-0.41987460999558585
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,0.7991564677669107,-0.4554436895282076
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,-0.20384865447326672,-0.22341015717213955
42,0,3,male,29.64209269662921,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,-5.482138488753303e-16,-0.48723782005286725
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,-2.055550418608979,0.1909121394926757
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,-0.8210825758518374,-0.4875720288717055
45,0,3,male,29.64209269662921,0,0,8.05,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.4841333019887193
46,0,3,male,29.64209269662921,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,-5.482138488753303e-16,-0.33414199473902667
47,1,3,female,29.64209269662921,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,-5.482138488753303e-16,-0.49017322040145855
48,0,3,male,29.64209269662921,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,-5.482138488753303e-16,-0.20973578188569775
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,-0.8982368160241588,-0.28783595357469205
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,-1.7469334579196936,0.15282642728807924
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,-0.6667740955071948,-0.48916656733266867
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,1.4935446293178027,0.8985892468519636
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-0.04954017412862403,-0.12274485029315124
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,2.728012472074944,0.6016265915589479
55,1,1,male,29.64209269662921,0,0,35.5,S,First,man,True,C,Southampton,yes,True,-5.482138488753303e-16,0.06851923277692655
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,-0.6667740955071948,-0.434807301618015
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,-0.0881172942147847,-0.500658518765974
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,-1.9012419382643362,-0.08751199288550533
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,-1.438316497230408,0.29803613246101984
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,-0.5896198553348734,-0.500658518765974
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,1.1849276686285175,1.0344028522808193
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,-1.9783961784366575,-0.08449203367913571
64,0,1,male,29.64209269662921,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,-5.482138488753303e-16,-0.08809987827767862
65,1,3,male,29.64209269662921,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,-5.482138488753303e-16,-0.33925981894075447
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,-0.04954017412862403,-0.434807301618015
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,-0.8210825758518374,-0.4819528914417204
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,-0.9753910561964801,-0.48664993466069395
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,-0.28100289464558803,-0.4718018018960432
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.18192254638834,-0.434807301618015
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,-1.0525452963688016,0.29803613246101984
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,-0.6667740955071948,0.8335755650572377
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,-0.28100289464558803,-0.3551971503258359
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,0.18192254638834,0.4912289628108992
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,-0.3581571348179094,-0.4921865265390384
76,0,3,male,29.64209269662921,0,0,7.8958,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.48723782005286725
77,0,3,male,29.64209269662921,0,0,8.05,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.4841333019887193
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,-2.2229751197829164,-0.06234566616575826
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,0.027614066043697313,-0.3950445054008146
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,-0.5896198553348734,-0.4650068936817115
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,-0.04954017412862403,-0.4549403629938127
82,1,3,female,29.64209269662921,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,-5.482138488753303e-16,-0.4894182305998661
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,-0.12669441430094538,0.30206274473617944
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,-0.9753910561964801,-0.434807301618015
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,0.25907678656066135,-0.32709542325749746
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,-1.0525452963688016,0.045869538729154176
87,0,3,male,29.64209269662921,0,0,8.05,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.4841333019887193
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,-0.5124656151625521,4.648790695770894
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,-0.43531137499023076,-0.4841333019887193
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,-0.04954017412862403,-0.4841333019887193
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,-0.7439283356795161,-0.4880753554061005
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,1.2620819088008388,0.5854355836005315
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,-0.28100289464558803,-0.2319667082568536
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,2.2650870310410163,-0.5002397510893574
95,0,3,male,29.64209269662921,0,0,8.05,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.4841333019887193
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,3.190937913108872,0.05149068946527694
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,-0.5124656151625521,0.6293920965023105
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,0.33623102673298266,-0.18314403442054422
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,0.33623102673298266,-0.12274485029315124
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,-0.12669441430094538,-0.48723782005286725
101,0,3,male,29.64209269662921,0,0,7.8958,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.48723782005286725
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,-0.6667740955071948,0.9098295350180712
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,0.25907678656066135,-0.47196890630546234
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,0.5676937472499467,-0.48664993466069395
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,-0.12669441430094538,-0.48723782005286725
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,-0.6667740955071948,-0.4921865265390384
107,1,3,male,29.64209269662921,0,0,7.775,S,Third,man,True,,Southampton,yes,True,-5.482138488753303e-16,-0.48966989386706367
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0.644847987422268,-0.48723782005286725
109,1,3,female,29.64209269662921,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,-5.482138488753303e-16,-0.15999101383837694
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,1.3392361489731601,0.40071474547758795
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,-1.1682766566272835,-0.3551971503258359
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,-0.5896198553348734,-0.4841333019887193
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,-0.7439283356795161,-0.4483971180466784
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,-0.9753910561964801,-0.3551146047741951
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,-0.6667740955071948,-0.48664993466069395
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,3.1523607930227113,-0.49017322040145855
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,-0.04954017412862403,-0.22341015717213955
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,-0.43531137499023076,4.337147012122648
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,-2.1327046587813,-0.016542951535818605
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,-0.6667740955071948,0.8335755650572377
121,0,3,male,29.64209269662921,0,0,8.05,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.4841333019887193
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,0.22049966647450067,-0.040787184044554156
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,0.22049966647450067,-0.38447464817852084
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,1.8793158301794095,0.9098295350180712
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,-1.3611622570580868,-0.41987460999558585
126,0,3,male,29.64209269662921,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,-5.482138488753303e-16,-0.49017322040145855
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,-0.43531137499023076,-0.5024201616363563
128,1,3,female,29.64209269662921,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,-5.482138488753303e-16,-0.19606341990539358
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,1.1849276686285175,-0.5057763429677017
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,0.25907678656066135,-0.48723782005286725
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,-0.7439283356795161,-0.5042663633645169
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,1.3392361489731601,-0.35427505611482435
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,-0.04954017412862403,-0.12274485029315124
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,-0.3581571348179094,-0.38447464817852084
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,-0.5124656151625521,-0.343286431215914
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,-0.8210825758518374,-0.11704115400538775
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,0.5676937472499467,0.4228611129909654
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,-1.0525452963688016,-0.46064405928157615
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,-0.43531137499023076,0.9483340148992845
140,0,3,female,29.64209269662921,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,-5.482138488753303e-16,-0.33925981894075447
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,-0.5896198553348734,-0.49017322040145855
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,-0.43531137499023076,-0.32709542325749746
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,-0.8210825758518374,-0.5103062817772562
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,-0.8982368160241588,-0.41467424024221733
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,-0.8210825758518374,0.09368555949667362
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,-0.20384865447326672,-0.489251126190447
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,-1.592624977575051,0.045869538729154176
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,0.529116627163786,-0.12274485029315124
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.9534649481115534,-0.38447464817852084
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,1.6478531096624456,-0.39403785233202476
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,-0.5896198553348734,0.6946574415642337
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,1.9950471904378915,-0.4841333019887193
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,0.8377335878530714,-0.35427505611482435
154,0,3,male,29.64209269662921,0,0,7.3125,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.49898143475337003
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,1.6478531096624456,0.5895467547334693
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,-1.0525452963688016,-0.4905094425264344
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.027614066043697313,-0.4841333019887193
158,0,3,male,29.64209269662921,0,0,8.6625,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.4718018018960432
159,0,3,male,29.64209269662921,8,2,69.55,S,Third,man,True,,Southampton,no,False,-5.482138488753303e-16,0.7540499726228369
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,1.1077734284561962,-0.3220621579135481
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,0.7991564677669107,-0.3291087293950773
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,-0.28100289464558803,-0.48966989386706367
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,-0.9753910561964801,-0.4718018018960432
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,-2.2098588989536214,0.15282642728807924
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,-1.592624977575051,-0.23297336132564347
166,1,1,female,29.64209269662921,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,-5.482138488753303e-16,0.46111392960498093
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,1.1849276686285175,-0.08449203367913571
168,0,1,male,29.64209269662921,0,0,25.925,S,First,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.12425482989633606
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,-0.12669441430094538,0.4912289628108992
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,2.419395511385659,0.02825311002533122
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,-1.9783961784366575,-0.05982903349378355
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,-2.2098588989536214,-0.4220570338487224
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,-0.6667740955071948,-0.48664993466069395
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,2.0336243105240523,-0.028204020684680614
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,-0.8982368160241588,-0.4880753554061005
176,0,3,male,29.64209269662921,3,1,25.4667,S,Third,man,True,,Southampton,no,False,-5.482138488753303e-16,-0.13348181192486414
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,1.570698869490124,-0.06813392131130011
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.027614066043697313,-0.38447464817852084
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,0.49053950707762534,-0.6462044460638905
180,0,3,female,29.64209269662921,8,2,69.55,S,Third,woman,False,,Southampton,no,False,-5.482138488753303e-16,0.7540499726228369
181,0,2,male,29.64209269662921,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,-5.482138488753303e-16,-0.34320187235813565
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,-1.592624977575051,-0.014277982131041355
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,-2.2098588989536214,0.13898494759221836
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,-1.9783961784366575,-0.20277376926194698
185,0,1,male,29.64209269662921,0,0,50.0,S,First,man,True,A,Southampton,no,True,-5.482138488753303e-16,0.36044862272599265
186,1,3,female,29.64209269662921,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,-5.482138488753303e-16,-0.33414199473902667
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,1.1849276686285175,-0.11167166653646252
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,0.7991564677669107,-0.33414199473902667
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0.49053950707762534,-0.48723782005286725
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,0.18192254638834,-0.38447464817852084
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,-0.8210825758518374,-0.38447464817852084
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,-0.8210825758518374,-0.4880753554061005
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,-2.055550418608979,-0.12274485029315124
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,1.1077734284561962,-0.08809987827767862
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,2.187932790868695,2.3037078131670836
196,0,3,male,29.64209269662921,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,-5.482138488753303e-16,-0.49017322040145855
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,0.9534649481115534,-0.4770021716494118
198,1,3,female,29.64209269662921,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,-5.482138488753303e-16,-0.49017322040145855
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,-0.43531137499023076,-0.38447464817852084
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,-0.12669441430094538,-0.4549403629938127
201,0,3,male,29.64209269662921,8,2,69.55,S,Third,man,True,,Southampton,no,False,-5.482138488753303e-16,0.7540499726228369
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,0.33623102673298266,-0.515424105978984
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,1.2235047887146782,-0.5007430776237524
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,-0.8982368160241588,-0.4841333019887193
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,-2.1327046587813,-0.43556229141960745
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,0.18192254638834,-0.32709542325749746
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,-0.28100289464558803,-0.26795455546609187
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,-1.0525452963688016,-0.49017322040145855
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,0.7991564677669107,-0.022079543414162937
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,-0.43531137499023076,-0.5042663633645169
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,0.413385266905304,-0.22341015717213955
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,-0.5896198553348734,-0.5002397510893574
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0.027614066043697313,-0.38447464817852084
214,0,3,male,29.64209269662921,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,-5.482138488753303e-16,-0.49017322040145855
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,0.10476830621601865,1.6343680812795898
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,-0.20384865447326672,-0.48664993466069395
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,0.9534649481115534,-0.10261178891735358
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,0.18192254638834,0.8897810325000521
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0.027614066043697313,-0.434807301618015
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,-1.0525452963688016,-0.4841333019887193
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,-0.20384865447326672,-0.38447464817852084
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,1.6478531096624456,-0.4841333019887193
223,0,3,male,29.64209269662921,0,0,7.8958,S,Third,man,True,,Southampton,no,True,-5.482138488753303e-16,-0.48723782005286725
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,0.644847987422268,1.1657710777578991
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,-0.5896198553348734,-0.4579603222001823
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,-0.8210825758518374,-0.434807301618015
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,-0.7053512155933555,-0.5002397510893574
